class,precision,recall,f1-score,support
Abyssinian,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
american_bulldog,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
american_pit_bull_terrier,0.8260869565217391,0.6333333333333333,0.7169811320754716,30.0
basset_hound,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
beagle,0.9,0.9,0.9,30.0
Bengal,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
Birman,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
Bombay,0.9642857142857143,1.0,0.9818181818181818,27.0
boxer,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
British_Shorthair,1.0,0.8333333333333334,0.9090909090909091,30.0
chihuahua,0.875,0.9333333333333333,0.9032258064516129,30.0
Egyptian_Mau,0.92,0.7931034482758621,0.8518518518518519,29.0
english_cocker_spaniel,0.90625,0.9666666666666667,0.9354838709677419,30.0
english_setter,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
german_shorthaired,1.0,0.9666666666666667,0.9830508474576272,30.0
great_pyrenees,0.9642857142857143,0.9,0.9310344827586207,30.0
havanese,1.0,0.9333333333333333,0.9655172413793104,30.0
japanese_chin,0.967741935483871,1.0,0.9836065573770492,30.0
keeshond,1.0,0.9333333333333333,0.9655172413793104,30.0
leonberger,0.9375,1.0,0.967741935483871,30.0
Maine_Coon,0.875,0.9333333333333333,0.9032258064516129,30.0
miniature_pinscher,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
newfoundland,1.0,0.9333333333333333,0.9655172413793104,30.0
Persian,0.9310344827586207,0.9,0.9152542372881356,30.0
pomeranian,0.9375,1.0,0.967741935483871,30.0
pug,0.967741935483871,1.0,0.9836065573770492,30.0
Ragdoll,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Russian_Blue,0.967741935483871,1.0,0.9836065573770492,30.0
saint_bernard,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
samoyed,0.90625,0.9666666666666667,0.9354838709677419,30.0
scottish_terrier,1.0,0.9666666666666667,0.9830508474576272,30.0
shiba_inu,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Siamese,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
Sphynx,0.9375,1.0,0.967741935483871,30.0
staffordshire_bull_terrier,0.7741935483870968,0.8275862068965517,0.8,29.0
wheaten_terrier,0.8571428571428571,1.0,0.9230769230769231,30.0
yorkshire_terrier,0.967741935483871,1.0,0.9836065573770492,30.0
